pricingID;name;regionCategory;date;price;timestamp;createdAt;updatedAt;grouping;providerID
96;t4g.xlarge-general-purpose;AWS-us-west-2;2023-09-09 02:00:00+02;0.1206;2023-10-30 19:55:12.056+01;2023-10-30 19:55:12.056+01;2023-10-30 19:55:12.056+01;GP1;AWS
97;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-09-09 02:00:00+02;0.1227;2023-10-30 19:55:12.064+01;2023-10-30 19:55:12.064+01;2023-10-30 19:55:12.064+01;CO1;AWS
98;t4g.xlarge-general-purpose;AWS-us-west-1;2023-09-09 02:00:00+02;0.0526;2023-10-31 17:36:17.764+01;2023-10-31 17:36:17.764+01;2023-10-31 17:36:17.764+01;GP1;AWS
99;c6a.xlarge-compute-optimized;AWS-us-west-1;2023-09-09 02:00:00+02;0.0767;2023-10-31 17:36:18.414+01;2023-10-31 17:36:18.414+01;2023-10-31 17:36:18.414+01;CO1;AWS
100;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-09-10 02:00:00+02;0.0601;2023-10-30 19:55:09.687+01;2023-10-30 19:55:09.687+01;2023-10-30 19:55:09.687+01;GP1;AWS
101;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-09-10 02:00:00+02;0.1035;2023-10-30 19:55:09.938+01;2023-10-30 19:55:09.938+01;2023-10-30 19:55:09.938+01;CO1;AWS
102;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-09-10 02:00:00+02;0.0300;2023-10-30 19:55:10.701+01;2023-10-30 19:55:10.701+01;2023-10-30 19:55:10.701+01;GP1;AWS
103;c6a.xlarge-compute-optimized;AWS-ap-south-1;2023-09-10 02:00:00+02;0.0755;2023-10-30 19:55:10.889+01;2023-10-30 19:55:10.889+01;2023-10-30 19:55:10.889+01;CO1;AWS
104;c6a.xlarge-compute-optimized;AWS-us-east-1;2023-09-10 02:00:00+02;0.1257;2023-10-30 19:55:11.469+01;2023-10-30 19:55:11.469+01;2023-10-30 19:55:11.469+01;CO1;AWS
105;t4g.xlarge-general-purpose;AWS-us-east-1;2023-09-10 02:00:00+02;0.1328;2023-10-30 19:55:11.582+01;2023-10-30 19:55:11.582+01;2023-10-30 19:55:11.582+01;GP1;AWS
106;t4g.xlarge-general-purpose;AWS-us-west-2;2023-09-10 02:00:00+02;0.1216;2023-10-30 19:55:12.055+01;2023-10-30 19:55:12.055+01;2023-10-30 19:55:12.055+01;GP1;AWS
107;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-09-10 02:00:00+02;0.1237;2023-10-30 19:55:12.064+01;2023-10-30 19:55:12.064+01;2023-10-30 19:55:12.064+01;CO1;AWS
108;t4g.xlarge-general-purpose;AWS-us-west-1;2023-09-10 02:00:00+02;0.0521;2023-10-31 17:36:17.764+01;2023-10-31 17:36:17.764+01;2023-10-31 17:36:17.764+01;GP1;AWS
